tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,polyline
651,6/9/15 16:21,6/9/15 16:32,521,8 Ave & W 31 St,40.75096735,-73.99444208,515,W 43 St & 10 Ave,40.76009437,-73.99461843,17017,Customer,,0,kdvwFv_sbMyFqDwNoJwNoJgCaBsDlLiGrR
392,6/10/15 7:11,6/10/15 7:17,515,W 43 St & 10 Ave,40.76009437,-73.99461843,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17017,Subscriber,1987,2,{}wwFdasbMa@pA{B}A|Mqb@nFwPdG|DnD`CjErCrFtD`FdDlAt@rEtC
449,6/10/15 7:17,6/10/15 7:25,492,W 33 St & 7 Ave,40.75019995,-73.99093085,484,W 44 St & 5 Ave,40.75500254,-73.98014437,17017,Subscriber,1971,1,i`vwFpkrbMjAv@f@\nFyPgCgB}FuDsJeG}ByAwB_BgCaB{BuAcG_EvFmQ
484,6/10/15 14:41,6/10/15 14:49,484,W 44 St & 5 Ave,40.75500254,-73.98014437,486,Broadway & W 29 St,40.7462009,-73.98855723,17017,Subscriber,1967,1,e}vwFhgpbMTw@n@`@nAz@iFjPyFrQvCv@xCn@|GxAtBd@nFz@|BVfD\fC\f@Rn@^HUPc@T@BBHDbALnEj@|ANlD^
531,6/10/15 16:24,6/10/15 16:32,486,Broadway & W 29 St,40.7462009,-73.98855723,517,Pershing Square South,40.751581,-73.97791,17017,Subscriber,1960,1,wfuwFv{qbMrD`@dK_\HSyByAwFsDkGgEuA}@WW}JuGgBkAoCcByA_A]a@{B{Aa@W
381,6/10/15 17:36,6/10/15 17:42,517,Pershing Square South,40.751581,-73.97791,501,FDR Drive & E 35 St,40.744219,-73.97121214,17017,Subscriber,1963,1,khvwF|xobMkAw@SMH[Rw@xAuEfIeWvNpJfAiDbA_DjAqD|AyEpBbBd@sAPLtAv@K`@\P^R
1042,6/11/15 7:14,6/11/15 7:31,501,FDR Drive & E 35 St,40.744219,-73.97121214,375,Mercer St & Bleecker St,40.72679454,-73.99695094,17017,Subscriber,1987,1,kztwF`onbM_@S]QJa@gBeAgC`I_@lAmAvD{AtEXP^VbAj@`EpC`EnCrJnGvFrDvDbCtHbFfKvGhFhDhFlDbJbG|OhKdJdGrBrAzBvAv@p@pD`C{CnJQp@wDfJe@nAu@rBGXu@pBIZ|FvEd@^
348,6/11/15 8:06,6/11/15 8:11,375,Mercer St & Bleecker St,40.72679454,-73.99695094,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17017,Subscriber,1949,1,cmqwFfosbMnDrCiArCqBbFg@rAuEuDwJ_IjA}CCCsB_BaBsAKOITkCxGuCpHMK
578,6/11/15 8:49,6/11/15 8:59,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,446,W 24 St & 7 Ave,40.74487634,-73.99529885,17017,Subscriber,1973,1,yorwF`zsbMLJGLeErKe@jAI@SDq@R@\d@pFM^OLQFmI`B_GjAmC^wB?M`@g@o@eAkA{@eA}@{@{CoBmH}E_JaGuH}EcEoC~EwO
429,6/11/15 9:00,6/11/15 9:07,446,W 24 St & 7 Ave,40.74487634,-73.99529885,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17017,Subscriber,1961,1,e~twFxesbMJ_@dC|AdCdBvMvItNhJhCfBgDhKKt@s@^
398,6/11/15 9:13,6/11/15 9:19,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,442,W 27 St & 7 Ave,40.746647,-73.993915,17017,Subscriber,1967,1,}yswFfstbMcAf@iAu@kCeBiJgGaR{L{JsGuFsDlFwPzBzAGN
